Audi;A6;hall met.;nelikvedu;manuaal;01/2001;diisel;2.5 (132 kW);341 523 km;1800 EUR;1300 EUR;https://www.auto24.ee/used/3347931
Audi;A6;tumesinine;esivedu;automaat;11/1999;bensiin;2.7 (169 kW);280 003 km;1300 EUR;;https://www.auto24.ee/used/3099860
Audi;Coupe;pruun met.;esivedu;manuaal;10/1992;bensiin;2.0 (85 kW);220 000 km;1600 EUR;1300 EUR;https://www.auto24.ee/used/3353831
Audi;A6;must met.;nelikvedu;automaat;08/2005;diisel;3.0 (165 kW);298 400 km;1360 EUR;Oksjon;https://www.auto24.ee/used/3356693
Audi;A4;hõbedane met.;esivedu;manuaal;05/1995;bensiin;1.6 (74 kW);203 000 km ·;1390 EUR;;https://www.auto24.ee/used/3355506
Audi;A4;tumesinine;nelikvedu;manuaal;11/2001;diisel;2.5 (132 kW);334 000 km;1700 EUR;1390 EUR;https://www.auto24.ee/used/3355576
Audi;A6;tumesinine met.;esivedu;automaat;07/2003;bensiin;2.4 V6 (125 kW);308 000 km ·;2000 EUR;1399 EUR;https://www.auto24.ee/used/3354236
Audi;A6;must met.;esivedu;automaat;02/2004;bensiin;2.4 (125 kW);369 000 km;1399 EUR;;https://www.auto24.ee/used/3354486
Audi;A4;tumesinine met.;esivedu;manuaal;04/2002;bensiin;1.8 T (110 kW);342 786 km;1590 EUR;1400 EUR;https://www.auto24.ee/used/3351244
Audi;A4;hall;esivedu;automaat;06/2004;diisel;1.9 (96 kW);410 000 km;1750 EUR;1400 EUR;https://www.auto24.ee/used/3310805
Audi;A4;;esivedu;;02/2002;diisel;1.9 (74 kW);;1400 EUR;;https://www.auto24.ee/used/3340700
Audi;A6;tumesinine met.;esivedu;manuaal;03/1999;diisel;2.5 (110 kW);250 000 km;1600 EUR;1400 EUR;https://www.auto24.ee/used/3357247
Audi;A6;tumeroheline met.;esivedu;automaat;02/2004;diisel;2.5 TDI (120 kW);;1600 EUR;1400 EUR;https://www.auto24.ee/used/3362222
Audi;A6;tumesinine met.;esivedu;manuaal;10/2001;diisel;1.9 TDI (96 kW);331 000 km;1499 EUR;;https://www.auto24.ee/used/3355011
Audi;A6;must met.;esivedu;automaat;11/2004;diisel;2.5 TDI (120 kW);329 000 km;1499 EUR;;https://www.auto24.ee/used/3361513
Audi;100;tumesinine;esivedu;manuaal;1990;bensiin;2.3 R5 (100 kW);310 000 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3358588
Audi;80;roheline;;manuaal;1985;bensiin;1.8 (66 kW);;1900 EUR;1500 EUR;https://www.auto24.ee/used/3232276
Audi;A3;must;esivedu;automaat;11/1998;bensiin;1.6 (74 kW);270 000 km ·;1500 EUR;;https://www.auto24.ee/used/3358587
Audi;A3;must;nelikvedu;manuaal;06/2000;bensiin;1.8 (110 kW);280 000 km ·;1800 EUR;1500 EUR;https://www.auto24.ee/used/3351780
Audi;A4;hall;esivedu;automaat;10/2001;bensiin;2.0 (96 kW);260 000 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3353104
Audi;A4;tumesinine;esivedu;manuaal;07/2001;diisel;1.9 TDI (74 kW);337 000 km;1500 EUR;;https://www.auto24.ee/used/3318476
Audi;A4;hall met.;nelikvedu;manuaal;02/2001;diisel;2.5 (132 kW);269 500 km;2300 EUR;1500 EUR;https://www.auto24.ee/used/3353538
Audi;A6;must (Must metallik );esivedu;manuaal;07/1998;bensiin;1.8 Turbo (110 kW);280 000 km ·;2500 EUR;1500 EUR;https://www.auto24.ee/used/3191353
Audi;A6;must;esivedu;manuaal;04/2001;diisel;2.5 (110 kW);;2000 EUR;1500 EUR;https://www.auto24.ee/used/3361769
